SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PONTE VILA FORMOSA (18K/01H),,
,Caudal médio diário (m3/s),FLAG,
01/11/1979 00:00,2.36,(vco),
02/11/1979 00:00,2.28,(vco),
03/11/1979 00:00,0.28,(vco),
04/11/1979 00:00,2.2,(vco),
05/11/1979 00:00,1.93,(vco),
06/11/1979 00:00,1.59,(vco),
07/11/1979 00:00,1.53,(vco),
08/11/1979 00:00,1.53,(vco),
09/11/1979 00:00,1.41,(vco),
18/11/1979 00:00,1.73,(vco),
19/11/1979 00:00,1.59,(vco),
20/11/1979 00:00,1.35,(vco),
21/11/1979 00:00,1.11,(vco),
22/11/1979 00:00,1.01,(vco),
23/11/1979 00:00,0.91,(vco),
24/11/1979 00:00,0.86,(vco),
25/11/1979 00:00,0.96,(vco),
26/11/1979 00:00,1.06,(vco),
27/11/1979 00:00,0.96,(vco),
28/11/1979 00:00,0.86,(vco),
29/11/1979 00:00,0.86,(vco),
30/11/1979 00:00,0.83,(vco),
01/12/1979 00:00,0.7,(vco),
02/12/1979 00:00,0.7,(vco),
03/12/1979 00:00,0.7,(vco),
04/12/1979 00:00,0.7,(vco),
05/12/1979 00:00,0.5,(vco),
06/12/1979 00:00,0.7,(vco),
07/12/1979 00:00,0.74,(vco),
08/12/1979 00:00,0.7,(vco),
09/12/1979 00:00,0.46,(vco),
10/12/1979 00:00,0.4,(vco),
11/12/1979 00:00,0.35,(vco),
12/12/1979 00:00,0.3,(vco),
13/12/1979 00:00,0.28,(vco),
14/12/1979 00:00,0.26,(vco),
15/12/1979 00:00,0.36,(vco),
16/12/1979 00:00,0.49,(vco),
17/12/1979 00:00,0.49,(vco),
18/12/1979 00:00,0.52,(vco),
19/12/1979 00:00,0.58,(vco),
20/12/1979 00:00,0.62,(vco),
21/12/1979 00:00,0.62,(vco),
22/12/1979 00:00,0.58,(vco),
23/12/1979 00:00,0.55,(vco),
24/12/1979 00:00,0.55,(vco),
25/12/1979 00:00,1.34,(vco),
26/12/1979 00:00,1.88,(vco),
27/12/1979 00:00,0.69,(vco),
28/12/1979 00:00,0.98,(vco),
29/12/1979 00:00,1.89,(vco),
30/12/1979 00:00,0.83,(vco),
31/12/1979 00:00,0.92,(vco),
01/01/1980 00:00,1.16,(vco),
02/01/1980 00:00,1.16,(vco),
03/01/1980 00:00,1.16,(vco),
04/01/1980 00:00,1.16,(vco),
05/01/1980 00:00,1.16,(vco),
06/01/1980 00:00,1.16,(vco),
07/01/1980 00:00,1.16,(vco),
08/01/1980 00:00,1.16,(vco),
09/01/1980 00:00,0.96,(vco),
10/01/1980 00:00,0.96,(vco),
20/01/1980 00:00,1.4,(vco),
21/01/1980 00:00,1.4,(vco),
22/01/1980 00:00,1.34,(vco),
23/01/1980 00:00,1.28,(vco),
24/01/1980 00:00,1.28,(vco),
25/01/1980 00:00,1.28,(vco),
26/01/1980 00:00,1.54,(vco),
27/01/1980 00:00,1.8,(vco),
28/01/1980 00:00,1.8,(vco),
29/01/1980 00:00,1.8,(vco),
30/01/1980 00:00,1.48,(vco),
31/01/1980 00:00,1.9,(vco),
01/02/1980 00:00,3.44,(vco),
02/02/1980 00:00,2.3,(vco),
03/02/1980 00:00,1.81,(vco),
04/02/1980 00:00,1.59,(vco),
05/02/1980 00:00,1.46,(vco),
06/02/1980 00:00,1.4,(vco),
07/02/1980 00:00,1.34,(vco),
08/02/1980 00:00,1.28,(vco),
09/02/1980 00:00,1.28,(vco),
